date,liquidity,rates,inflation,growth,labor,overall
2026-05-23,64.25,53.77,67.7,51.99,42.59,57.14
2026-05-23,64.25,53.77,67.7,51.99,42.59,57.14
2026-05-23,64.25,53.77,67.7,51.99,42.59,58.13
2026-05-23,64.25,53.77,67.7,51.99,42.59,58.47
2026-05-23,64.25,53.77,67.7,51.99,42.59,58.16
2026-05-23,64.25,53.77,67.7,51.99,42.59,58.16
2026-05-23,64.25,53.77,67.7,51.99,42.59,58.16
2026-05-23,64.25,53.77,67.7,51.99,42.59,59.35
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.11
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.11
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.11
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.11
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.11
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.61
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.61
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.19
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.19
2026-05-24,64.25,53.77,67.7,51.99,42.59,58.19
2026-05-26,64.25,37.02,20.14,59.47,57.06,43.8
2026-05-26,64.25,37.02,20.14,59.47,57.06,43.8
2026-05-26,64.25,37.02,20.14,59.47,57.06,43.8
2026-05-28 18:56:29,64.55,38.25,22.01,63.36,53.65,44.33
2026-05-31 17:11:23,64.34,38.74,22.01,63.36,53.65,44.6
